Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,ccc-chc-master,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,"ccc-chc-ahti-2024-25,ccc-chc-ruwoyd-2024-25,ccc-chc-henike,ccc-chc-rwyd-2024-25,ccc-chc-afdic,ccc-chc-infinitym-2024-25,ccc-chc-isodaf-2024-25,ccc-chc-jhf-2024-25,ccc-chc-ppfnnew,ccc-chc-cefdrc,ccc-chc-jesuislenfant,ccc-chc-apsvcar,ccc-chc-cnrsc,mapping-experiments,ccc-chc-focus1000sl,ccc-chc-chwcn,ccc-chc-munafampatiesl,ccc-chc-ppf-2024-25,ccc-chc-kyetumeug,ccc-chc-chauganda,ccc-chc-zegcawis-2024-25,ccc-chc-cowacdi-2024-25,ccc-chc-eha-c-2024-25"
production,ny-uat-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,ak-monkeypox-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-middlesex,,,,
production,ccc-chc-hhgsf-2024-25,IMPLEMENTATION,CommCare Paused Edition,,
production,ny-integrations-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,co-broomfield,,,,
production,zandre-engelbrecht-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-fremont,,,,
production,inddex-multi-vn,PRODUCT,CommCare Paused Plan,,
production,colorado-xpath-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,bh-mat-registry,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,supporters-ok-sickle-cell,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-arapahoe,,,,
production,second-project-6,,,,
production,kartika-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-summit,,,,
production,kai-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-migration,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ush-cjw-2,ush-cjw-1,ush-migration-transfer"
production,ccqa2-2,,,,
production,philly-covid19-intqa,,,,
production,woody-meade-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-gunnison,,,,
production,addison-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,downstream-domain
production,covid-nj-staging,,,,
production,nj-covid-sussex,,,,
production,wv-sahel-nigeria-dev,PRODUCT,CommCare Paused Edition,True,wv-sahel-nigeria
production,wv-sahel-car-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,sampleproject-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-erie-cdcms,PRODUCT,CommCare Paused Edition,True,
production,fh-ethiopia-psnp,PRODUCT,Discounted Custom Advanced Plan for Food for the Hungry - Pay Annually,,
production,trenton-health,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,beh-health-demo,,,,
production,inddex-test-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,uss-matt-onboarding,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-repeat-group-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,hungry-hippo-david,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,hungry-hippo-chantal,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-viaduct-wes-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,nick-demo,,,,nick-test
production,nile-special,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,trainingdakar,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,woody-colorado-covid,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-livingston-cdcms,PRODUCT,CommCare Paused Edition,True,
production,inddex-multilingual,PRODUCT,CommCare Paused Plan,,"jfuller-inddex-push-test,inddex-upload-test-2,inddex-upload-test,test-push-caktus,inddex-multi-vn"
production,inddex-data-dictionary,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,qa-automation-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,case-management-onboardin,PRODUCT,CommCare Free Edition,,
production,polio-template-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccqa-downstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,bha-auto-tests,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,
production,ny-montgomery-cdcms,PRODUCT,CommCare Paused Edition,True,
production,av-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,indiana-mch-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,commcare-followup-task,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-viaduct-suf-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,co-moffat,,,,
production,ny-allegany-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,nj-covid-dev,,,,"https://staging.commcarehq.org/a/covid-nj-staging/,nj-covid-assignment-test"
production,commcarehq-academy,PRODUCT,CommCare Paused Edition,,
production,co-ouray,,,,
production,co-practice,,,,
production,ccc-chc-ahti-2024-25,PRODUCT,CommCare Paused Edition,,
production,nj-covid-cape-may,,,,
production,pa-ddap-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ush-envelope-testing,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,us-monkeypox-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
