"Place","Population"
"CLEVELAND HEIGHTS",45414
"KOKOMO",45396
"SOUTHAVEN",45395
"EVESHAM",45370
"MCMINNVILLE",45334
"SARATOGA SPRINGS",45251
"COLLINSVILLE",45243
"DICKINSON",45239
"HICKORY",45188
"SOMERS",45046
"ELA",45038
"FOND DU LAC",45002
"HOT SPRINGS",44983
"AUGUSTA",44920
"REDFORD",44848
"CRYSTAL LAKE",44830
"BLACKSBURG",44794
"KINGSPORT",44758
"LA QUINTA",44704
"THE COLONY",44704
"BELL GARDENS",44581
"BEVERLY",44559
"NEW BERLIN",44503
"BOUNTIFUL",44477
"LITCHFIELD",44474
"CORAL GABLES",44425
"NUNDA",44423
"CHATHAM",44404
"METHUEN",44371
"GROVELAND",44252
"SCIOTO",44214
"WOONSOCKET",44149
"SULLIVAN",44094
"SAN LUIS OBISPO",44075
"BRIDGETON",44066
"PENN HILLS",44055
"WILKES-BARRE",44044
"TEXAS CITY",43965
"EDEN",43943
"BYRON",43930
"CASA GRANDE",43878
"ROSELLE",43855
"COMMERCE CITY",43834
"COEUR D'ALENE",43805
"ELKHART",43804
"WEST SENECA",43753
"NOBLE",43671
"ATTLEBORO",43645
"BOARDMAN",43640
"CERES",43627
"DRAPER",43545
"EAST POINT",43441
"KANNAPOLIS",43404
"LINDENHURST",43363
"CUDAHY",43352
"ANKENY",43319
"SIERRA VISTA",43227
"BALDWIN",43217
"HACKENSACK",43123
"ELMWOOD PARK",43026
"HOMEWOOD",43020
"SPRINGVILLE",42953
"BONITA SPRINGS",42874
"GROVE CITY",42860
"BUFFALO GROVE",42852
"LOMBARD",42825
"TWIN FALLS",42741
"LAGRANGE",42714
"PFLUGERVILLE",42696
"ORO VALLEY",42651
"NORTH LAUDERDALE",42608
"FORT PIERCE",42596
"OAKLAND PARK",42565
"BELL",42537
"VERONA",42516
"HOLYOKE",42442
"FINDLAY",42408
"STRONGSVILLE",42378
"CLEAR CREEK",42371
"CARLISLE",42365
"MORAINE",42308
"LEOMINSTER",42293
"ELIZABETHTOWN",42269
"SAYREVILLE",42236
"CHARLOTTESVILLE",42218
"PATTERSON",42163
"SPRING",42034
"EGG HARBOR",41993
"GRAND BLANC",41908
"PEMBROKE",41837
"ALISO VIEJO",41835
"RIDGEFIELD",41813
"SHIELDS",41691
"KEARNEY",41639
"HAGERSTOWN",41622
"HOBOKEN",41537
"MELROSE",41495
"DEER PARK",41491
