"Place","Population"
"SAN BRUNO",41415
"MANLIUS",41338
"TYRONE",41335
"SOCORRO",41312
"GRANDVIEW",41300
"SOUTH BRUNSWICK",41257
"NORTH MIAMI BEACH",41254
"EL CENTRO",41241
"PORT HURON",41239
"TORRINGTON",41096
"LOMPOC",41096
"POLK",41059
"BOONE",41022
"CORTLANDT",41002
"SPRING VALLEY",40982
"RANCHO PALOS VERDES",40964
"ROHNERT PARK",40921
"STOW",40919
"BURTON",40918
"LAKE WORTH",40864
"CHILLICOTHE",40847
"SAMMAMISH",40834
"HALTOM CITY",40811
"EDMONDS",40773
"BULLHEAD CITY",40747
"RAMSEY",40720
"CUNNINGHAM",40663
"WAUSAU",40523
"HAMPDEN",40495
"LA PUENTE",40466
"SPARTANBURG",40387
"STOUGHTON",40349
"SAN GABRIEL",40276
"DERBY",40267
"KELLER",40263
"GOOSE CREEK",40234
"SEASIDE",40188
"COACHELLA",40158
"NORTON",40136
"CLEARFIELD",40120
"HARTLAND",40095
"HOWARD",40051
"CAROL STREAM",40041
"MUSKOGEE",39991
"KEARNY",39990
"CARTHAGE",39943
"ALTAMONTE SPRINGS",39942
"STATE COLLEGE",39898
"BILLERICA",39865
"HURST",39788
"WYLIE",39783
"MANALAPAN",39733
"LAKE VILLA",39710
"COPPELL",39663
"COLLIERVILLE",39646
"ATLANTIC CITY",39620
"NORTH BRUNSWICK",39586
"MOUNT LAUREL",39515
"NEWBERRY",39498
"GOLDSBORO",39493
"CENTRAL",39430
"MOORHEAD",39427
"HOLLISTER",39407
"BOZEMAN",39282
"LISBON",39226
"JENNINGS",39201
"MINOT",39123
"EWING",39117
"MANKATO",39056
"SUMTER",39032
"FERGUSON",39030
"ELMIRA",39013
"UNITY",39007
"WOBURN",38987
"WEST POINT",38985
"WILLIAMSPORT",38940
"HALLANDALE BEACH",38904
"BOURBONNAIS",38890
"CALEXICO",38827
"APOPKA",38809
"ROCKLAND",38761
"HOLLY SPRINGS",38740
"TEANECK",38633
"CEDAR FALLS",38589
"MORGAN HILL",38547
"PRESCOTT VALLEY",38463
"BREA",38452
"URBANDALE",38445
"CULVER CITY",38422
"WAKEFIELD",38363
"PAINESVILLE",38354
"NORTHVILLE",38332
"DIXON",38325
"OAKLEY",38284
"FENTON",38260
"MONROVIA",38215
"NEW LENOX",38196
"TEMPLE CITY",38186
"LEAVENWORTH",38095
"EAST WINDSOR",38085
"OTTAWA",38038
"CARPENTERSVILLE",38021
"ROMEOVILLE",37997
"PACIFICA",37987
"PENFIELD",37930
"ALBION",37927
"SAN JACINTO",37917
"MORGAN",37896
"SYCAMORE",37873
"ORMOND BEACH",37825
"WEATHERFORD",37823
"VIOLET",37820
"STICKNEY",37817
"PUYALLUP",37743
"HUNTERSVILLE",37740
"LAKE CITY",37703
"CAPE GIRARDEAU",37657
"EVANS",37607
"HAVERSTRAW",37562
"BELVIDERE",37559
"LAKE OSWEGO",37558
"OCEAN",37325
"GADSDEN",37285
"CHARLESTOWN",37244
"SPRING LAKE",37243
"ANNAPOLIS",37166
"ROY",37148
"FAIRBANKS",37101
"WESTERVILLE",37070
"VALPARAISO",37050
"STREAMWOOD",36974
"MONTEREY",36960
"HUBER HEIGHTS",36941
"OSSINING",36917
"RIVIERA BEACH",36882
"ADA",36861
"TUPELO",36859
"BENTONVILLE",36855
"LONDONDERRY",36800
"COLCHESTER",36798
"ROCKWALL",36791
"HANOVER PARK",36703
"SHOREWOOD",36698
"WESTCHESTER",36697
"MOORPARK",36695
"DEL RIO",36676
"TEWKSBURY",36673
"PANAMA CITY",36643
"RADNOR",36639
"MANASSAS",36620
"MANHATTAN BEACH",36619
"CALUMET CITY",36619
"EDGEWATER",36614
"MEDINA",36610
"TRUMBULL",36606
"GALLOWAY",36578
"ORION",36568
"MONROEVILLE",36565
"BRAINTREE",36523
"DUNCANVILLE",36472
"CLIFTON PARK",36469
"UNIVERSITY PARK",36337
"MILLVILLE",36331
"OAK CREEK",36322
"VALLEY STREAM",36311
"FORT LEE",36288
"WILLINGBORO",36284
"UNIVERSITY CITY",36262
"BURLESON",36169
"BARTLESVILLE",36068
"LAWRENCEVILLE",36061
"CHELTENHAM",36002
"ALAMOGORDO",35984
"FREDERICKSBURG",35963
"DUNEDIN",35920
"WEST HOLLYWOOD",35911
"CRANBERRY",35898
"DANA POINT",35851
"CENTREVILLE",35839
"FERNDALE",35832
"CHESHIRE",35815
"CORTLAND",35805
"WEST BEND",35768
"KENMORE",35761
"ESSEX",35724
"SOUTH MOLINE",35714
"RIVERHEAD",35654
"PRAIRIE",35612
"KEIZER",35611
"PAYSON",35586
"DELAWARE CITY",35582
"SPRING HILL",35577
"HARRIS",35513
"MARTINEZ",35425
"COTTONWOOD HEIGHTS",35407
"CENTRALIA",35398
"PIGEON",35378
"NEEDHAM",35337
"PERU",35297
"GAINES",35250
"WOODRIDGE",35233
"BREMERTON",35191
"WESTLAKE",35170
"SAN JUAN CAPISTRANO",35142
"LOS BANOS",35120
"LUDLOW",35105
"XENIA",35065
"SAN DIMAS",35037
"EAST HAMPTON",35021
"PENNSAUKEN",34959
"WATERVILLE",34937
"MONTROSE",34931
"AUSTINTOWN",34918
"MOUNT MORRIS",34880
"GUILDERLAND",34836
"CARROLL",34799
"PEACHTREE CITY",34784
"WESLACO",34701
"BETHANY",34692
"FAYETTE",34683
"OAK GROVE",34669
"MENOMONEE FALLS",34666
"SHAKOPEE",34662
"BROWNSTOWN",34631
"LUFKIN",34591
"NORTHGLENN",34556
"GENESEE",34550
"SAN JUAN",34534
"WARMINSTER",34522
"MOUNT OLIVE",34505
"MARANA",34473
"CLARK",34424
"DARTMOUTH",34420
"WEST DEERFIELD",34320
"APACHE JUNCTION",34284
"HILTON HEAD ISLAND",34249
"GAHANNA",34245
"VALLEY",34196
"MOORESVILLE",34180
"KEENE",34141
"CHELMSFORD",34111
"FRIENDSWOOD",34106
"MORTON",34094
"LIMESTONE",34076
"MANITOWOC",34047
"INVER GROVE HEIGHTS",34033
"GALLATIN",34032
"APEX",34022
"LYNNWOOD",34017
"PARKERSBURG",34014
"THOMPSON",34008
"MUNDELEIN",33979
"WEST LAFAYETTE",33972
"ROSENBERG",33962
"EAST PALO ALTO",33899
"LA VERNE",33871
"WOOD RIVER",33859
"MORGANTOWN",33850
"ALPINE",33798
"HENRY",33769
"NORTHBROOK",33764
"EATON",33757
"NORTHPORT",33714
"OAK RIDGE",33688
"LONG BRANCH",33677
"TWENTYNINE PALMS",33634
"LEE",33604
"GRANVILLE",33590
"PULASKI",33554
"MILAN",33503
"ADRIAN",33499
"KIRKWOOD",33465
"SANGER",33456
"SANDUSKY",33420
"MERRILLVILLE",33416
"JUNEAU",33364
"GLASTONBURY",33353
"WINTER HAVEN",33345
"SOLON",33326
"WINONA",33186
"EL DORADO",33184
"WARSAW",33175
"NACOGDOCHES",33173
"DENISON",33149
"PLANT CITY",33142
"ELK GROVE VILLAGE",33124
"BETTENDORF",33098
"PITTSFORD",33083
"KENNESAW",33043
"LYNDHURST",33018
"VENICE",32990
"OVIEDO",32961
"BOTHELL",32959
"CRETE",32942
"NEW IBERIA",32862
"GRANTS PASS",32829
"GREENACRES",32809
"FAIRMONT",32806
"BESSEMER",32803
"OCOEE",32752
"BEREA",32743
"NORTH PROVIDENCE",32742
"MASSILLON",32734
"PRATTVILLE",32728
"WINTER SPRINGS",32727
"LEAWOOD",32722
"PENDLETON",32703
"MAYFIELD",32693
"MICHIGAN CITY",32692
"NORTH CHICAGO",32656
"KANKAKEE",32651
"SPANISH FORK",32643
"CLARENCE",32578
"HOUMA",32571
"MENASHA",32560
"PERRYSBURG",32556
"OLIVE BRANCH",32531
"ENTERPRISE",32473
"JUNCTION CITY",32464
"BEAVER",32463
"EASTPOINTE",32458
"NATICK",32338
"UPPER ARLINGTON",32321
"WILLIAMSBURG",32304
"LOWER MAKEFIELD",32292
"STAUNTON",32288
"BUTTE-SILVER BOW",32268
"NAPLES",32247
"SCHERTZ",32159
"SEMINOLE",32110
"HOPKINSVILLE",32095
"LAWNDALE",32092
"LAUDERDALE LAKES",32082
"GLENVILLE",32064
"NAUGATUCK",32019
"WOOSTER",32000
"YARMOUTH",31990
"NORRISTOWN",31989
"MYRTLE BEACH",31968
"BURIEN",31958
"LAGUNA HILLS",31945
"GLENDALE HEIGHTS",31877
"VOORHEES",31847
"GREENSBURG",31839
"OREGON CITY",31826
"LAWRENCEBURG",31796
"FAIRBORN",31782
"MIDLOTHIAN",31701
"ROCKAWAY",31669
"SUN PRAIRIE",31612
"EDGEWOOD",31607
"HILLIARD",31598
"NEWNAN",31587
"ALLIANCE",31577
"EMPORIA",31551
"EASTCHESTER",31550
"BETHEL PARK",31545
"BRADFORD",31535
"DOUGLASVILLE",31534
"KINGMAN",31512
"TRURO",31492
"ROXBURY",31444
"WHITE LAKE",31423
"DORAL",31389
"SWEETWATER",31305
"WALLA WALLA",31286
"VESTAVIA HILLS",31121
"NORTH TONAWANDA",31110
"BENNINGTON",31110
"PHENIX CITY",31100
"PLATTSBURGH",31088
"SAN PABLO",31065
"NORTH OLMSTED",31053
"WHEAT RIDGE",31031
"CITY OF ORANGE",31030
"GALESBURG CITY",31006
"UPPER PROVIDENCE",30992
"DE WITT",30978
"MICHIGAN",30927
"NEWINGTON",30926
"BUENA VISTA",30868
"LA VERGNE",30862
"HOBBS",30838
"COPPERAS COVE",30806
"ROYAL PALM BEACH",30750
"DEPTFORD",30722
"GARNER",30714
"ALLENDALE",30714
"TOOELE",30708
"HINESVILLE",30705
"UNIVERSITY PLACE",30685
"MOSCOW",30619
"CORCORAN",30596
"GURNEE",30571
"MOUNT LEBANON",30550
"HARVEY",30548
"RARITAN",30540
"MATTHEWS",30530
"FAIR LAWN",30522
"EPHRATA",30499
"CORNING",30485
"ABOITE",30473
"LENOX",30450
"SOUTHGATE",30416
"CHICAGO HEIGHTS",30412
"PEKIN",30364
"ALABASTER",30340
"WETHERSFIELD",30337
"AVENTURA",30333
"SHEFFIELD",30288
"MENLO PARK",30276
"FRANKLIN PARK",30266
"MIDDLESEX",30261
"OTSEGO",30258
"MANOR",30258
"CUTLER BAY",30253
"WENATCHEE",30229
"ATWATER",30191
"MIDVALE",30189
"ROTTERDAM",30171
"GATES",30117
"LOWER MACUNGIE",30114
"DOYLESTOWN",30098
"BALLWIN",30095
"RIDLEY",30056
"WINTER GARDEN",30050
"SWANSEA",30049
"WELLS",30022
"MASON CITY",30020
"WESTMONT",29999
"CORNELIUS",29988
"LIVE OAK",29964
"CLEBURNE",29931
"EAST CHICAGO",29900
"HOPKINTON",29890
"COOKEVILLE",29880
"SOUTH PASADENA",29865
"OLIVE",29838
"PEMBERTON",29825
"BRANFORD",29779
"DARBY",29739
"LAKE IN THE HILLS",29704
"NORTH HUNTINGDON",29617
"BURLINGAME",29590
"COOPER CITY",29585
"MADISON HEIGHTS",29580
"HILLSIDE",29563
"GOLETA",29559
"DORR",29541
"WAXAHACHIE",29535
"WADSWORTH",29515
"LOS GATOS",29501
"PLEASANTVILLE",29498
"AIKEN",29494
"CHILI",29478
"DRACUT",29415
"MIDDLEBURY",29392
"BROOKLYN",29330
"WEST WARWICK",29328
"PLAINVIEW",29276
"DANVERS",29271
"FOSTER CITY",29259
"MAMARONECK",29227
"NORTH ROYALTON",29220
"SOUTH KINGSTOWN",29195
"TREDYFFRIN",29183
"LITTLE FALLS",29156
"SCITUATE",29150
"CEDAR CITY",29144
"RAHWAY",28998
"NEW HARTFORD",28989
"BANNING",28988
"NEW BERN",28988
"CEDAR CREEK",28985
"LAKE JACKSON",28980
"WILLISTON",28980
"ST ALBANS",28948
"FREEDOM",28942
"WINTER PARK",28939
"RAYTOWN",28931
"SANDWICH",28921
"ARTESIA",28901
"OWASSO",28865
"EAST HAVEN",28865
"REXBURG",28856
"LARAMIE",28850
"SANTA PAULA",28827
"SCHERERVILLE",28809
"EAST FISHKILL",28797
"NORTH RIDGEVILLE",28768
"MADISONVILLE",28763
"EAST ST LOUIS",28753
"GILLETTE",28726
"MARTINSVILLE",28714
"EL PASO DE ROBLES",28677
"DUNCAN",28673
"LOS ALTOS",28622
"AGAWAM",28616
"GRANBY",28608
"ORCHARD PARK",28607
"HYDE PARK",28555
"KYLE",28543
"AMERICAN FORK",28542
"JOHNSON",28498
"CASEYVILLE",28464
"DANIA BEACH",28448
"NEW HOPE",28428
"MORRISVILLE",28410
"ADELANTO",28403
"WEST MILFORD",28397
"WEATHERSFIELD",28397
"PLAINVILLE",28367
"NEPTUNE",28349
"SAVAGE",28335
"ATASCADERO",28307
"PORT CHESTER",28243
"RAVENNA",28230
"VILLA PARK",28218
"WEST SPRINGFIELD",28165
"NEENAH",28164
"WINTHROP",28160
"GRANITE CITY",28154
"SOLEDAD",28118
"GREER",28056
"OSCEOLA",28035
"WESTFORD",28021
"SAUGUS",27946
"WALLKILL",27926
"SUSQUEHANNA",27918
"SHALER",27898
"WAKE FOREST",27852
"WALL",27849
"NORTH ATTLEBOROUGH",27825
"WARRINGTON",27820
"RAYMOND",27817
"ROUND LAKE BEACH",27790
"PULLMAN",27788
"QUEENSBURY",27788
"WESTWOOD",27767
"NORTH ANDOVER",27759
"NEW BRIGHTON",27759
"DE LAND",27717
"WHITE",27684
"OAK FOREST",27681
"PLUM",27651
"WEST WINDSOR",27622
"RIPLEY",27613
"OSOLO",27603
"PRICHARD",27578
"BROOKLYN CENTER",27538
"WAVERLY",27499
"BLOOMING GROVE",27485
"GARFIELD HEIGHTS",27479
"GRAHAM",27477
"SLIDELL",27475
"OPELIKA",27443
"SAN CARLOS",27424
"WELLESLEY",27412
"VESTAL",27369
"ARDMORE",27311
"SOUTHLAKE",27282
"MONMOUTH",27268
"BRUCE",27261
"ROCKLEDGE",27251
"GLEN ELLYN",27236
"WEST MEMPHIS",27230
"MCCANDLESS",27214
"EAGLE PASS",27183
"WAPPINGER",27150
"WALPOLE",27126
"VICKSBURG",27125
"HAMMOND",27089
"MARQUETTE",27048
"SWATARA",27030
"IMPERIAL BEACH",27003
"SUISUN CITY",27003
"NICHOLASVILLE",27001
"CROWLEY",26959
"GLEN COVE",26936
"PADUCAH",26936
"STATESBORO",26909
"POST FALLS",26909
"BIG SPRING",26881
"WHEATFIELD",26873
"ALAMO",26869
"SEGUIN",26842
"HINSDALE",26781
"FARMERS BRANCH",26742
"HEBRON",26721
"TUALATIN",26693
"MERRIMACK",26683
"KINGSVILLE",26680
"FOUNTAIN",26675
"UPPER",26669
"SEATAC",26660
"NORTH KINGSTOWN",26654
"BROOKINGS",26650
"ALBERTVILLE",26650
"STATESVILLE",26645
"NEW WINDSOR",26628
"GRAND HAVEN",26618
"DODGE CITY",26610
"RIDGECREST",26606
"GIRARD",26601
"UPPER MERION",26591
"ARNOLD",26580
"WHITEWATER",26541
"BARBERTON",26533
"WEA",26518
"DEDHAM",26509
"NORCO",26495
"GRETNA",26487
"WEST CHICAGO",26475
"TECUMSEH",26457
"JEFFERSONTOWN",26442
"CRYSTAL",26436
"PINEVILLE",26418
"URBANA",26371
"BLUFFTON",26349
"CROWN POINT",26348
"KAYSVILLE",26314
"SAN LUIS",26301
"WILMETTE",26300
"SOUTH WINDSOR",26258
"CORSICANA",26252
"INKSTER",26242
"TIFFIN",26236
"LEANDER",26230
"SHAKER HEIGHTS",26214
"NUTLEY",26183
"BENICIA",26180
"HOMER GLEN",26144
"PARAMUS",26137
"PARK",26113
"QUEEN CREEK",26103
"MEDINA CITY",26082
"WAYLAND",26080
"BERNARDS",26034
"HARKER HEIGHTS",26026
"FRIDLEY",26014
"WILLIAMSTOWN",25989
"UPPER DUBLIN",25987
"LOWER PROVIDENCE",25967
"ROMULUS",25965
"INDIANOLA",25896
"TROTWOOD",25894
"ZANESVILLE",25889
"MARYLAND HEIGHTS",25888
"STOCKBRIDGE",25831
"HOLLADAY",25802
"LITTLE ELM",25797
"ZION",25756
"GONZALES",25748
"OWATONNA",25691
"NEWCASTLE",25660
"MARSHALLTOWN",25645
"CUBA",25644
"BARRE",25596
"BERGENFIELD",25582
"WEST LINN",25556
"PARKLAND",25502
"BELLA VISTA",25483
"GORHAM",25475
"SHOREVIEW",25473
"OAK HARBOR",25443
"ALLEN PARK",25428
"LYNDON",25375
"SAN BENITO",25365
"DE PERE",25357
"CRESTWOOD",25350
"HAZELWOOD",25325
"PINE",25311
"FOUNTAIN HILLS",25305
"STEVENS POINT",25294
"HARMONY",25287
"PETERS",25242
"VANDALIA",25238
"PEARL",25226
"PRIOR LAKE",25220
"NORTH HAVEN",25216
"ONEONTA",25209
"WOODBURN",25193
"ALMA",25168
"CABOT",25168
"CASCADE",25162
"HORN LAKE",25113
"ONEIDA",25109
"FORT DODGE",25075
"SENECA",25066
"NORWOOD PARK",25055
"WASCO",25042
"PARAGOULD",25027
"RIDGELAND",25006
"COLLEYVILLE",24974
"SPRINGETTSBURY",24968
"ISSAQUAH",24959
"BARSTOW",24927
"POINT PLEASANT",24899
"OTTUMWA",24894
"WHITE BEAR LAKE",24828
"HORSHAM",24811
"CASSELBERRY",24792
"WATAUGA",24785
"PONCA CITY",24780
"ONONDAGA",24768
"BERWICK",24762
"MOUNTAIN HOME",24751
"EL MIRAGE",24739
"ASHEBORO",24734
"PEEKSKILL",24724
"KNOX",24710
"PATOKA",24707
"WARRENSBURG",24700
"ELLINGTON",24657
"MITCHELL",24654
"WYANDOTTE",24636
"HERCULES",24623
"LEMON GROVE",24597
"MERCER ISLAND",24559
"CHASKA",24545
"SULPHUR",24539
"YORKVILLE",24521
"MAPLE VALLEY",24475
"ROCKVILLE CENTRE",24473
"LOVES PARK",24464
"WESTBROOK",24464
"STARKVILLE",24450
"MINT HILL",24445
"BLACKMAN",24418
"WENTZVILLE",24407
"GALT",24402
"VERNON HILLS",24400
"NEWBERG",24398
"TALLMADGE",24389
"WILLIAMS",24363
"MINEOLA",24354
"CENTRE",24347
"DESERT HOT SPRINGS",24344
"AVON LAKE",24341
"PIEDMONT",24338
"COLDWATER",24332
"EAST CLEVELAND",24317
"WEST FARGO",24313
"LEMOORE",24285
"PAPILLION",24280
"UPPER MORELAND",24246
"SEAL BEACH",24238
"ROCKPORT",24218
"HILLSDALE",24203
"HOLDEN",24187
"MAHWAH",24185
"RIDGEWOOD",24181
"NORTH PLATTE",24137
"LAGUNA BEACH",24131
"CHANHASSEN",24106
"GRIFFIN",24083
"AMSTERDAM",24002
"ACTON",23998
"SOUTH PORTLAND",23976
"CHAMPLIN",23970
"DOLTON",23949
"ABBEVILLE",23935
"PLEASANT VALLEY",23928
"ONALASKA",23866
"WARRENTON",23861
"ANNISTON",23854
"HALFMOON",23839
"BELLAIRE",23824
"HATFIELD",23795
"CARTERET",23776
"MEQUON",23739
"CHIPPEWA",23726
"SAN FERNANDO",23724
"EAST HEMPFIELD",23685
"BATESVILLE",23682
"RED BANK",23681
"PASCAGOULA",23677
"SIMSBURY",23648
"MILL CREEK",23631
"REEDLEY",23620
"RIPON",23593
"MARPLE",23579
"PALMETTO BAY",23571
"SOUTH LAKE TAHOE",23569
"WOLCOTT",23555
"THOMASTON",23546
"MUSKEGO",23517
"YUKON",23511
"WESTERLY",23500
"TARPON SPRINGS",23493
"MAPLE HEIGHTS",23485
"ALVIN",23484
"CAMILLUS",23477
"MAGNOLIA",23467
"HINGHAM",23423
"KIRYAS JOEL",23414
"PARK CITY",23411
"DAVISON",23397
"MOUNT JULIET",23396
"NEW SMYRNA BEACH",23376
"ELK RIVER",23364
"BRAWLEY",23342
"SEARCY",23340
"BENBROOK",23332
"ROLLING MEADOWS",23324
"HUNTLEY",23278
"NORTON SHORES",23266
"MOLINE",23264
"HOPE",23262
"MIDDLE",23214
"KERNERSVILLE",23193
"OPELOUSAS",23145
"GLENWOOD",23141
"NEWBURY",23125
"BLYTHE",23063
"HERNDON",23057
"SCOTCH PLAINS",23054
"HOPKINS",23045
"MOON",23018
"CLIFFSIDE PARK",22994
"SCIO",22966
"CLEAR LAKE",22957
"SILVER CREEK",22951
"DEXTER",22934
"WILLOUGHBY",22929
"HAZLETON",22919
"EAGLE MOUNTAIN",22914
"STEUBENVILLE",22900
"CLYDE",22891
"EAST PEORIA",22860
"KERRVILLE",22826
"LONDON",22799
"MUNSTER",22789
"ATTICA",22778
"MINDEN",22724
"MACHESNEY PARK",22724
"LEWISBURG",22721
"TEMPLE TERRACE",22695
"KEY WEST",22690
"KINSTON",22679
"WILDOMAR",22671
"MUSCATINE",22654
"BARNEGAT",22643
"SOUTHOLD",22631
"SOUTH PLAINFIELD",22626
"OCONOMOWOC",22610
"MIAMI LAKES",22603
"FRENCHTOWN",22505
"OAKWOOD",22488
"PARK FOREST",22462
"CANAAN",22455
"BOLIVAR",22424
"MORTON GROVE",22412
"VINCENNES",22379
"MAULDIN",22379
"HANNIBAL",22368
"EL CERRITO",22363
"LOMA LINDA",22355
"WOODWARD",22354
"WEBSTER GROVES",22345
"MILLEDGEVILLE",22339
"HAVELOCK",22333
"GLENCOE",22311
"RUSH",22305
"DEL CITY",22297
"RADCLIFF",22253
"BLUE ISLAND",22247
"FREDONIA",22235
"CORONADO",22225
"AGOURA HILLS",22180
"INDIANA",22178
"RUSSELL",22176
"LE RAY",22164
"FARIBAULT",22150
"MENDON",22132
"CREVE COEUR",22109
"FILLMORE",22104
"HEATH",22096
"CALABASAS",22095
"ELKTON",22094
"SMITHVILLE",22081
"STONEHAM",22079
"MCKEESPORT",22076
"NASHVILLE",22074
"CRANFORD",22059
"WEST DEPTFORD",22054
"HONEY CREEK",22054
"JACKSONVILLE BEACH",22051
"RUSTON",21998
"ROSEMOUNT",21994
"BLAIR",21989
"BAINBRIDGE ISLAND",21981
"BEAVER DAM",21960
"WEST GOSHEN",21956
"BEACHWOOD",21917
"ASHTABULA",21913
"WILSONVILLE",21867
"MANTUA",21840
"SEDALIA",21839
"CHERRY VALLEY",21831
"NISKAYUNA",21824
"HUBBARD",21814
"MARTINSBURG",21789
"DUARTE",21782
"SOUTH SALT LAKE",21774
"MELROSE PARK",21767
"PRAIRIE VILLAGE",21703
"OCEAN CITY",21700
"GRAYSLAKE",21698
"PROSPECT",21698
"SOUTH EL MONTE",21672
"EAST GREENWICH",21654
"ELLSWORTH",21652
"OSHTEMO",21652
"KALISPELL",21640
"LIBERAL",21639
"ROYALTON",21636
"MOUNT HOLLY",21611
"SUFFIELD",21610
"PORT HUENEME",21555
"MOUNT JOY",21528
"LYSANDER",21521
"MOUNT CARMEL",21466
"FISHKILL",21449
"SOUTH MILWAUKEE",21446
"CAIRO",21442
"PEWAUKEE",21441
"GREENBELT",21439
"BIXBY",21433
"POTTSTOWN",21429
"POLAND",21421
"FOREST GROVE",21400
"GREENDALE",21394
"BIDDEFORD",21383
"MIDDLEBOROUGH",21375
"WAREHAM",21349
"BAKER",21337
"BERKLEY",21334
"EMMETT",21323
"SOUTH ELGIN",21304
"ROCK SPRINGS",21299
"ST FRANCIS",21274
"MILLBRAE",21257
"DURANT",21236
"SAPULPA",21228
"JEROME",21217
"PIERCE",21215
"BOONVILLE",21200
"DENNIS",21192
"PLAINSBORO",21184
"BELLWOOD",21145
"FARRAGUT",21138
"CRAWFORD",21124
"SUGAR GROVE",21106
"STURGIS",21103
"MOUNTAIN BROOK",21094
"GRAND CHUTE",21050
"SOUTH HOLLAND",21045
"SOUTH EUCLID",21031
"AUBURN HILLS",20973
"POWELL",20968
"HAZLET",20942
"NORTH PLAINFIELD",20941
"MUKILTEO",20938
"NORTH AUGUSTA",20880
"EAST MOLINE",20867
"MILWAUKIE",20859
"ENNIS",20844
"SUMNER",20827
"ACWORTH",20827
"LITTLE EGG HARBOR",20824
"MARBLEHEAD",20797
"MCDONOUGH",20795
"DINUBA",20792
"STONINGTON",20780
"MOUNT AIRY",20754
"GOLDEN VALLEY",20728
"DEWITT",20727
"NORWAY",20720
"RIVERBANK",20684
"ST MATTHEWS",20683
"HUMBOLDT",20666
"BIG LAKE",20665
"BROWNSBURG",20644
"ANTRIM",20639
"SNELLVILLE",20634
"VICTOR",20622
"HAYS",20617
"GLASGOW",20597
"BUCKINGHAM",20590
"SEBASTIAN",20584
"PALESTINE",20576
"LINO LAKES",20569
"LA CANYNYNYADA FLINTRIDGE",20563
"PIQUA",20553
"CREST HILL",20553
"LEMONT",20548
"EASLEY",20540
"HURRICANE",20513
"ROLLA",20483
"STROUD",20466
"ALPENA",20463
"HIALEAH GARDENS",20454
"MILL",20438
"ELIZABETH CITY",20437
"PAINT",20431
"LAKE ZURICH",20427
"WEST MIFFLIN",20418
"PATTON",20403
"CANANDAIGUA",20388
"YUCCA VALLEY",20382
"COLFAX",20370
"OZARK",20357
"ROSEBURG",20353
"LATHROP",20346
"MCFARLAND",20331
"CRESTVIEW",20322
"WHITESTOWN",20315
"MILLBROOK",20306
"GOLDEN",20293
"EASTLAKE",20291
"SAHUARITA",20267
"SHAWSWICK",20266
"LOGANSPORT",20266
"BALCH SPRINGS",20258
"GREAT BEND",20244
"LOWER",20239
"EUSTIS",20231
"EAST HANOVER",20216
"CAMERON",20209
"MALTA",20204
"CAMPTON",20180
"CHRISTIANSBURG",20169
"BENSENVILLE",20158
"LOMITA",20118
"ETNA",20104
"PLEASANT PRAIRIE",20094
"BUCHANAN",20085
"WAUCONDA",20085
"MOSES LAKE",20084
"MOUNTLAKE TERRACE",20078
"POMFRET",20076
"HAMLIN",20070
"KLAMATH FALLS",20065
"BASTROP",20065
"HAMTRAMCK",20062
"SEABROOK",20043
"BROOKVILLE",20036
"STUART",20030
"NOGALES",20017
"WORTHINGTON",20014
"GALLUP",20001
"NEW CANAAN",20000
"EAST RIDGE",19985
"TEXAS",19982
"OWEGO",19980
"BRADY",19957
"TWINSBURG",19915
"ELK",19901
"EAST PENNSBORO",19890
"HUGO",19885
"LYNBROOK",19883
"OWOSSO",19881
"MANDAN",19848
"GLASSBORO",19841
"ALTUS",19834
"HULL",19830
"SOUTH WHITEHALL",19824
"WHARTON",19819
"ALLEGHENY",19819
"TINTON FALLS",19772
"PRESTON",19756
"MUHLENBERG",19754
"PALMETTO",19750
"MACOMB CITY",19748
"ALICE",19733
"BROOK PARK",19718
"MIAMISBURG",19713
"SOUTHBURY",19706
"CLARKSBURG",19669
"SOUTHEAST",19647
"FLUSHING",19613
"TERRELL",19599
"LIMERICK",19596
"CONVERSE",19594
"ANSONIA",19589
"PARMA HEIGHTS",19586
"FRASER",19556
"DAPHNE",19542
"SAUGERTIES",19524
"MURRYSVILLE",19520
"SOUTH ST PAUL",19514
"MATTESON",19502
"ROCKY HILL",19487
"MOORESTOWN",19487
"FOREST",19462
"NIXA",19458
"CORNWALL",19455
"PIPE CREEK",19449
"INDIAN TRAIL",19422
"PALISADES PARK",19421
"RUTHERFORD",19404
"JENKS",19400
"BOURNE",19390
"HOWLAND",19357
"PINECREST",19354
"HERMOSA BEACH",19351
"RED OAK",19348
"SACHSE",19330
"SIMPSONVILLE",19260
"CHOWCHILLA",19254
"MOKENA",19251
"RICHMOND HEIGHTS",19241
"SCARBOROUGH",19239
"EVERGREEN PARK",19237
"TRUSSVILLE",19208
"EAST LYME",19203
"DUMAS",19185
"ROUND LAKE",19183
"MAPLE SHADE",19165
"HIGHLANDS",19157
"DRYDEN",19150
"HORSEHEADS",19144
"NEW HANOVER",19140
"COLOMA",19138
"UPPER MACUNGIE",19123
"ANGLETON",19123
"PUTNAM",19095
"LOWER SOUTHAMPTON",19065
"ROCK ISLAND",19055
"SEWARD",19050
"EEL",19035
"MEXICO",19008
"ALGOMA",18995
"DUNKIRK",18991
"MIDWAY",18971
"CARTERSVILLE",18965
"DYER",18947
"PINOLE",18939
"HAINES CITY",18920
"PORT ANGELES",18912
"BRIGHAM CITY",18900
"WHITPAIN",18894
"VINTON",18887
